freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.896e+01,5.056e+02,1.505e+01,5.696e+02
1.5,5.098e+01,2.944e+02,2.995e+01,3.753e+02
3.0,2.907e+01,2.803e+01,3.031e+01,8.740e+01
4.5,2.874e+01,2.749e+02,3.172e+01,3.354e+02
6.0,2.752e+01,1.149e+03,3.225e+01,1.209e+03
7.5,2.629e+01,1.985e+03,3.585e+01,2.047e+03
9.0,2.609e+01,2.987e+03,3.564e+01,3.048e+03
10.5,2.559e+01,4.359e+03,3.209e+01,4.417e+03
12.0,2.526e+01,6.058e+03,3.126e+01,6.114e+03
13.5,2.885e+01,8.168e+03,3.432e+01,8.231e+03
15.0,2.940e+01,1.083e+04,3.290e+01,1.089e+04
16.5,3.032e+01,1.436e+04,3.235e+01,1.443e+04
18.0,3.448e+01,1.919e+04,3.512e+01,1.926e+04
19.5,5.256e+01,2.586e+04,3.583e+01,2.595e+04
21.0,9.054e+01,3.544e+04,3.528e+01,3.557e+04
22.5,1.470e+02,4.883e+04,3.783e+01,4.902e+04
24.0,2.536e+02,6.856e+04,6.571e+01,6.888e+04
25.4,5.504e+02,9.883e+04,1.891e+02,9.957e+04
26.9,1.260e+03,1.493e+05,4.383e+02,1.510e+05
28.4,3.501e+03,2.481e+05,7.806e+02,2.523e+05
29.9,9.104e+03,4.240e+05,2.101e+03,4.352e+05
31.4,2.013e+04,6.592e+05,6.817e+03,6.861e+05
32.9,3.294e+04,7.894e+05,1.387e+04,8.362e+05
34.4,3.779e+04,7.099e+05,1.774e+04,7.655e+05
35.9,3.697e+04,6.080e+05,1.877e+04,6.638e+05
37.4,3.475e+04,5.594e+05,1.869e+04,6.128e+05
38.9,3.264e+04,5.020e+05,1.622e+04,5.509e+05
40.4,3.041e+04,4.565e+05,1.308e+04,4.999e+05
41.9,2.627e+04,4.173e+05,9.674e+03,4.533e+05
43.4,2.199e+04,3.546e+05,6.368e+03,3.830e+05
44.9,1.969e+04,2.988e+05,3.854e+03,3.223e+05
46.4,1.712e+04,2.668e+05,2.150e+03,2.861e+05
47.9,2.037e+04,2.520e+05,1.026e+03,2.734e+05
49.4,3.544e+04,2.540e+05,3.729e+02,2.898e+05
50.9,6.905e+04,2.671e+05,4.295e+02,3.366e+05
52.4,1.124e+05,2.464e+05,1.311e+03,3.601e+05
53.9,1.288e+05,1.857e+05,3.927e+03,3.184e+05
55.4,1.324e+05,1.356e+05,4.454e+03,2.724e+05
56.9,1.241e+05,8.691e+04,2.482e+03,2.135e+05
58.4,9.807e+04,5.467e+04,1.634e+03,1.544e+05
59.9,7.437e+04,3.826e+04,1.887e+03,1.145e+05
61.4,5.510e+04,3.123e+04,1.745e+03,8.807e+04
62.9,3.999e+04,3.138e+04,1.715e+03,7.309e+04
64.4,2.949e+04,3.384e+04,1.859e+03,6.519e+04
65.9,2.329e+04,3.661e+04,1.871e+03,6.177e+04
67.4,2.009e+04,3.748e+04,2.632e+03,6.021e+04
68.9,1.744e+04,3.609e+04,3.334e+03,5.686e+04
70.4,1.499e+04,3.349e+04,2.928e+03,5.141e+04
71.9,1.385e+04,2.921e+04,2.167e+03,4.522e+04
73.4,1.341e+04,2.346e+04,1.919e+03,3.879e+04
74.8,1.271e+04,1.824e+04,1.917e+03,3.287e+04
76.3,1.162e+04,1.454e+04,1.681e+03,2.785e+04
77.8,1.041e+04,1.158e+04,1.154e+03,2.314e+04
79.3,9.395e+03,1.046e+04,8.286e+02,2.068e+04
80.8,8.438e+03,1.067e+04,8.972e+02,2.001e+04
82.3,8.154e+03,1.294e+04,9.828e+02,2.208e+04
83.8,8.232e+03,1.639e+04,1.226e+03,2.585e+04
85.3,8.599e+03,2.036e+04,1.027e+03,2.999e+04
